camis,name,boro,cuisine,action,score,grade,rating,review_count,location.address1,coordinates.latitude,coordinates.longitude,ratings1
41674382,Angelo Bellini,MANHATTAN,Italian,violations,16,B,3,90,224 E 53rd St,40.7570801,-73.9685135,***
50018131,Trattoria Trecolori,MANHATTAN,American,violations,2,A,4,1721,254 W 47th St,40.75987,-73.98679,****
40365293,Angelo's,MANHATTAN,Italian,violations,21,B,3.5,382,146 Mulberry St,40.71895,-73.997382,****
41101595,Angelo's Pizza,MANHATTAN,Pizza,violations,10,A,3.5,354,1697 Broadway,40.76381699,-73.98274209,****
41638918,Angelo's Coal Oven Pizzeria,MANHATTAN,Pizza,violations,27,B,4,637,117 W 57th St,40.76492,-73.97794,****
41387635,Angelo's Deli Restaurant,QUEENS,Mexican,violations,17,B,4,1,69-45 51st Ave,40.735444,-73.89457951,****
41531476,Angie's Breakfast Spot,BROOKLYN,Latin,violations,18,B,3,106,1637 Broadway,40.6851692,-73.9139328,***
41163361,Angies Cafe & Pizza,BRONX,Pizza,violations,18,B,4,25,2559 3rd Ave,40.81153,-73.92707,****
50058412,Angiolina Restaurant,BRONX,Spanish,violations,21,B,5,1,1322 A Jerome Ave,40.83848,-73.91871,*****
50038549,Angkor Cambodian Bistro,MANHATTAN,Asian,violations,9,A,4.5,182,408 E 64th St,40.76226044,-73.95914459,*****
50033210,Anglers,QUEENS,Seafood,violations,7,A,2,47,Central Terminal Dr,40.77213286,-73.86536575,**
40402424,Kenka,MANHATTAN,American,violations,5,A,3.5,1393,25 St Marks Pl,40.72913,-73.988465,****
40757492,Angry Wade's,BROOKLYN,American,violations,8,A,3.5,108,222 Smith St,40.68409,-73.9924,****
41146469,Ani Pizza Palace,QUEENS,Pizza,violations,15,B,3.5,62,4318 25th Ave,40.766317,-73.908813,****
41687410,Ani Sushi Ramen restaurant & bar,BROOKLYN,Japanese,violations,27,B,3.5,192,142 Montague St,40.694517,-73.99395,****
41243875,Anil's Roti Shop & Bakery,QUEENS,Caribbean,violations,10,A,3,33,12501 Liberty Ave,40.68815758,-73.81931911,***
41536484,Sylvia's Restaurant,BROOKLYN,American,violations,36,C,3.5,1382,328 Malcolm X Blvd,40.808609,-73.944404,****
50064676,Anita's Roti Shop,QUEENS,Caribbean,no violations,0,B,4.5,28,106-13 Guy R Brewer Blvd,40.699457,-73.793002,*****
41627217,Anjappar Chettinad Restaurant,MANHATTAN,Indian,violations,11,A,3,256,116 Lexington Ave,40.742603,-73.982795,***
50001693,Anka Grill,MANHATTAN,Turkish,violations,12,A,3.5,155,642 Lexington Ave,40.7594337,-73.9704313,****
41372259,Ann & Tony's Restaurant,BRONX,Italian,violations,13,A,3,87,2407 Arthur Ave,40.855809,-73.887462,***
40576286,Best Pizza,BROOKLYN,Pizza,violations,29,C,3.5,421,33 Havemeyer St,40.7156,-73.95352,****
40580211,Anna's Cafe,BROOKLYN,American,violations,7,A,3,19,2925 Ave I,40.629386,-73.947525,***
50009685,Annabel,MANHATTAN,Pizza,violations,41,C,4,274,809 9th Ave,40.765841,-73.987619,****
50047502,Annabelle's Pastaria,BROOKLYN,Italian,violations,12,A,4,57,717 86st,40.61883,-74.021346,****
50011483,Annadale Terrace,STATEN ISLAND,American,violations,25,B,2.5,91,801 Annadale Rd,40.5422472,-74.1772319,***
40380520,Annam Brahma,QUEENS,Indian,violations,59,C,4,65,8443 164th St,40.71282535,-73.80126833,****
50010893,Greene Grape Annex,BROOKLYN,American,violations,8,A,3.5,86,753 Fulton St,40.6864584,-73.9745454,****
50044957,Annie 88 Express,BROOKLYN,Chinese,violations,7,A,3.5,22,880 Nostrand Ave,40.667897,-73.95103,****
41609227,Annie Chan's Restaurant,QUEENS,Jewish/Kosher,violations,32,C,2.5,39,190-11 Union Tpke,40.7300899,-73.77885,***
50045177,Cipriani Dolci,MANHATTAN,American,violations,9,A,3,179,89 E 42nd St,40.75272788,-73.97757002,***
50045520,Wedding Hills,QUEENS,Caribbean,violations,8,A,4.5,40,13520 39th Ave,40.7596969,-73.8318281,*****
40894025,Annie's Kitchen,QUEENS,Chinese,violations,21,B,3,38,7224 Main St,40.7256232,-73.8215963,***
